id,steam_rva,kind,name,notes
763,0x0002F410,func,,
764,0x0002F580,func,,
765,0x0002F880,func,,
766,0x0002F970,func,,
767,0x0002FC00,func,,
768,0x0002FC90,func,,
769,0x0002FDE0,func,,
770,0x0002FEB0,func,,
771,0x0002FF30,func,,
772,0x00030070,func,,
773,0x000301B0,func,,
774,0x00030280,func,,
775,0x00030300,func,,
776,0x00030340,func,,
777,0x00030380,func,,
778,0x00030450,func,,
779,0x00030510,func,,
780,0x00030660,func,,
781,0x000306C0,func,,
782,0x00030730,func,,
783,0x00030790,func,,
784,0x000307E0,func,,
785,0x00030860,func,,
786,0x000309B0,func,,
787,0x00030AB0,func,,
788,0x00030CC0,func,,
789,0x00030D30,func,,
790,0x00030D50,data,,
791,0x00030E50,func,,
792,0x00031910,func,,
793,0x00031A00,func,,
794,0x00031B00,func,,
795,0x00031BB0,func,,
796,0x00031C30,func,,
797,0x00031C60,func,,
798,0x00031C90,func,,
799,0x00031D10,func,,
800,0x00031D90,func,,
801,0x00031E40,func,,
802,0x00031E90,func,,
803,0x00031F90,func,,
804,0x00032140,func,,
805,0x000322C0,func,,
806,0x000323B0,func,,
807,0x00032730,func,,
808,0x00032810,func,,
809,0x00032840,func,,
810,0x00032860,func,,
811,0x000328A0,func,,
812,0x00032980,func,,
813,0x000329A0,func,,
814,0x00032A00,func,,
815,0x00032AF0,func,,
816,0x00032B00,func,,
817,0x00032B40,func,,
818,0x00032B60,func,,
819,0x00032B90,func,,
820,0x00032BC0,func,,
821,0x00032C20,func,,
822,0x00032C80,func,,
823,0x00032CF0,func,,
824,0x00032D50,func,,
825,0x00032DB0,func,,
826,0x00032E10,func,,
827,0x00032EE0,func,,
828,0x00033040,data,,
829,0x00033060,data,,
830,0x00033080,data,,
831,0x00033140,func,,
832,0x000331A0,func,,
833,0x00033250,func,,
834,0x00033300,func,,
835,0x000333F0,func,,
836,0x000336A0,func,,
837,0x00033780,func,,
838,0x00033860,func,,
839,0x00033980,func,,
840,0x00033C40,func,,
841,0x00033C50,func,,
842,0x00033C70,func,,
843,0x00033CC0,func,,
844,0x00033CE0,func,,
845,0x00033D10,func,,
846,0x00033F10,func,,
847,0x000340C0,func,,
848,0x00034100,func,,
849,0x00034170,data,,
850,0x00034190,func,,
851,0x000341D0,func,,
852,0x00034250,func,,
853,0x000342E0,func,,
854,0x00034320,func,,
855,0x00034370,func,,
856,0x000343E0,func,,
857,0x00034450,func,,
858,0x000344A0,func,,
859,0x000344E0,func,,
860,0x00034570,func,,
861,0x000345E0,func,,
862,0x00034690,func,,
863,0x00034940,func,,
864,0x00034960,func,,
865,0x00034980,func,,
866,0x000349A0,func,,
867,0x000349F0,func,,
868,0x00034A70,func,,
869,0x00034AB0,func,,
870,0x00034B80,func,,
871,0x00034BB0,func,,
872,0x00034C10,func,,
873,0x00034C40,func,,
874,0x00034E20,func,,
875,0x00034E60,func,,
876,0x00034EF0,func,,
877,0x00034F50,func,,
878,0x00034FB0,func,,
879,0x00035060,func,,
880,0x00035120,func,,
881,0x00035190,func,,
882,0x00035200,func,,
883,0x00035260,func,,
884,0x000352C0,func,,
885,0x000353C0,func,,
886,0x00035430,func,,
887,0x000354F0,func,,
888,0x00035600,func,,
889,0x000356C0,func,,
890,0x000357B0,func,,
891,0x000358A0,func,,
892,0x000359E0,func,,
893,0x00035A00,func,,
894,0x00035A30,func,,
895,0x00035A90,func,,
896,0x00035AD0,func,,
897,0x00035B20,func,,
898,0x00035BB0,func,,
899,0x00035BF0,func,,
900,0x00035C50,func,,
901,0x00035C70,func,,
902,0x00035CD0,func,,
903,0x00035D50,func,,
904,0x00035D90,func,,
905,0x00035E00,func,,
906,0x00035E50,func,,
907,0x00035E80,func,,
908,0x00035ED0,func,,
909,0x00035F20,func,,
910,0x00035F70,func,,
911,0x00035FC0,func,,
912,0x00036030,func,,
913,0x000362F0,func,,
914,0x00036350,func,,
915,0x000363D0,func,,
916,0x00036420,func,,
917,0x00036500,func,,
918,0x000366A0,func,,
